Country,2010,2010_lower, 2010_upper, 2011,2011_lower, 2011_upper, 2012,2012_lower, 2012_upper, 2013,2013_lower, 2013_upper, 2014,2014_lower, 2014_upper, 2015,2015_lower, 2015_upper, 2016,2016_lower, 2016_upper, 2017,2017_lower, 2017_upper, 2018,2018_lower, 2018_upper, 2019,2019_lower, 2019_upper, 2019
Israel,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Italy,4600 ,1800 , 8500,4300 ,1500 , 8200,4000 ,1300 , 8100,3800 ,1100 , 8000,3500 ,<1000 , 7800,3300 ,<1000 , 7600,3100 ,<1000 , 7500,2900 ,<1000 , 7500,2700 ,<1000 , 7500,2500 ,<1000 , 7900,-45
Jamaica,1900 ,1400 , 3000,1900 ,1300 , 2900,1900 ,1300 , 2900,1800 ,1300 , 2900,1800 ,1300 , 2900,1800 ,1200 , 2900,1700 ,1200 , 2900,1700 ,1200 , 2800,1700 ,1200 , 2800,1600 ,1100 , 2700,-13
Japan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Jordan,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Kazakhstan,2000 ,1800 , 2200,2200 ,1900 , 2300,2400 ,2200 , 2600,2600 ,2400 , 2900,2800 ,2600 , 3200,3100 ,2800 , 3500,3200 ,2800 , 3600,3500 ,3100 , 4100,3600 ,3100 , 4300,3700 ,3100 , 4500,83
Kenya,75 000 ,48 000 , 120 000,68 000 ,44 000 , 100 000,66 000 ,43 000 , 100 000,64 000 ,41 000 , 99 000,60 000 ,39 000 , 93 000,54 000 ,35 000 , 83 000,49 000 ,32 000 , 76 000,47 000 ,30 000 , 72 000,43 000 ,28 000 , 66 000,42 000 ,27 000 , 65 000,-44
Kuwait,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,... ,... , ...,...
Kyrgyzstan,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,19
Lao People's Democratic Republic,1100 ,<1000 , 1200,1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1100,<1000 ,<1000 , 1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,<1000 ,<1000 , <1000,-26
Latvia,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <1000,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,<500 ,<500 , <500,-8
Lebanon,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,<200 ,<100 , <500,44
Lesotho,20 000 ,17 000 , 22 000,18 000 ,16 000 , 20 000,17 000 ,15 000 , 19 000,16 000 ,14 000 , 18 000,15 000 ,13 000 , 16 000,13 000 ,12 000 , 15 000,13 000 ,11 000 , 14 000,12 000 ,10 000 , 14 000,11 000 ,9500 , 13 000,11 000 ,9400 , 13 000,-45
